is_number,title,reviewed_in,status,department,technical_committee,number_of_revisions,number_of_amendments,type_of_standard,reaffirmation_year,source_url,search_keyword,superseding_is,group,sub_group,sub_sub_group,relevant_ministries,short_common_man_title,certification,search_text,semantic_score,faiss_rank
IS 16353:2015,Portland Cement Clinker - Specification,2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,"Jun, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImRPdGcvN2lzeUxZVkVpT2pYQWZiTUE9PSIsInZhbHVlIjoib2RkWjZCTyt1TXFCRDNmSDdYUmVIdz09IiwibWFjIjoiMmJkNjUwNmUzODcyN2Q2Yjg4MWE3YmIxZTI5YjQxNzU4OTBlYTQyOGI4MGVjMzhlMTFkYWUxNTVmZDgxZTU2MiIsInRhZyI6IiJ9&standardNumber=IS%2016353:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Portland Cement Clinker - Specification,Unknown,"portland cement clinker - specification. building materials including paints. cement, concrete and allied products. cement and its testing. portland cement clinker - specification. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs",0.513257,27
IS 8041:1990,Rapid Hardening Portland Cement - Specification (Second Revision),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,04,Product Specification,"Mar, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imt5SmliNkdSZkpqMzNhalFPN1N3TkE9PSIsInZhbHVlIjoiRXoyK29UbTZKNXZaU0FDNEQ3S1ltdz09IiwibWFjIjoiNTkyZDkwMjA0OTJkODNhNGZhNmE5MjQyMzE2ZDg3ZWJmZTVmZGI4NzAxNDdjNDNmNDE4NTViZjJmYWFjYjQ2MCIsInRhZyI6IiJ9&standardNumber=IS%208041:1990,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Rapid hardening Portland cement,Unknown,"rapid hardening portland cement - specification (second revision). building materials including paints. cement, concrete and allied products. cement and its testing. rapid hardening portland cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.51023376,28
IS 3466:2026,Masonry cement - Specification,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InBsMVhjd1crNVJEdHZmQWEzMnhyRHc9PSIsInZhbHVlIjoiMjYvSy9EWFJzYTRDU0JFbUNnMHBVZz09IiwibWFjIjoiNTEwMDBlMjhjMzIwODBiODkzNmQ4NzUwZmQ1OGVhMzZlYWYzOWVmOGNhNDkzNGVjZmUzMTAxZWQ2ZWIzODYzMiIsInRhZyI6IiJ9&standardNumber=IS%203466:2026,cement,IS 3466:1988,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Food and Public Distribution",Unknown,Unknown,"masonry cement - specification. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of food and public distribution",0.5099222,29
IS 6452:2026,High Alumina Cement for Structural Use - Specification (Second Revision),Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlVBYTFsNDdQVzg5aVE1QWNGSmErdmc9PSIsInZhbHVlIjoieTQ2TWZaZlU3VDlzaTI4MWs3cXhoZz09IiwibWFjIjoiZWZmYTY3ZDlmZDhhMTA5ODAxNjBhYTMxY2YxNWMwMjVmYWI4OWYyNGI5NWY2NDgwYjgzMmExMmNkZmQxMTI3ZiIsInRhZyI6IiJ9&standardNumber=IS%206452:2026,cement,IS 6452:1989,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Mandatory Certification,"high alumina cement for structural use - specification (second revision). civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.49846336,30
IS 9142 (Part 1):2018,Artificial Lightweight Aggregate for Concrete - Specification: Part 1 For Concrete Masonry Blocks and for applications other than for Structural Concrete (First Revision),2023.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,"Jun, 2023",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlBYRldNTDNxRnE4d3ozeEhVWEhiSnc9PSIsInZhbHVlIjoiNUlqS2J5bklPcSthSzhUYjZBYXdQUT09IiwibWFjIjoiNzQ5M2MwMDg5ZjBjMzQ2MjI5ODkxMGVlZjUxZTE0YTE5NTdjMmRlYmIzYzU1YWM2NjFmNzdmMjk5ZmFjM2FlZSIsInRhZyI6IiJ9&standardNumber=IS%209142%20(Part%201):2018,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing","Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Unknown,"artificial lightweight aggregate for concrete - specification: part 1 for concrete masonry blocks and for applications other than for structural concrete (first revision). building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.48694316,31
IS 12797:1989,Dental materials - Dental glass polyalkenoate cements - Specification,Unknown,Withdrawn,Medical Equipment And Hospital Planning Department(MHD),MHD 08 - Dentistry,New Standard,No amendment issued,Product Specification,"Jan, 2016",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IldjaGFGZ3RWWGswVFJybW5uT3hzdVE9PSIsInZhbHVlIjoieVdqOEpJemZURVV2TEU0L2IzYTJMZz09IiwibWFjIjoiNjFiNGI0OGNlNmY3ZjBhYjRiMmYzMDMzMWZkZDRmZGU2ODAwMjc0MWE4ZjgyMDhkYTE0MWE5N2MxZDM1MjkyMCIsInRhZyI6IiJ9&standardNumber=IS%2012797:1989,cement,Not Available,Medical and Hospital Equipments,Dentistry instruments/equipment and accessories,Filling and restorative materials,Ministry of Health and Family Welfare,Dental Materials - Dental Glass Polyalkenoate Cements,Unknown,dental materials - dental glass polyalkenoate cements - specification. medical and hospital equipments. dentistry instruments/equipment and accessories. filling and restorative materials. dental materials - dental glass polyalkenoate cements. medical equipment and hospital planning department(mhd). mhd 08 - dentistry. product specification. ministry of health and family welfare,0.48367223,32
IS 2185 (Part 4):2008,Concrete masonry units - Specification: Part 4 preformed foam cellular concrete blocks,2024.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,New Standard,No amendment issued,Product Specification,"Dec, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlZ2TExwWVlSbUhZTWwyVzQvOHhZcUE9PSIsInZhbHVlIjoiK20vTGwySzBVdUM3alJvVmlOakJRdz09IiwibWFjIjoiMzBlMjAzMTljMjdmOWE4NDhkNGNkYTIxNmZiNTdjZTU4OWY1ODgwODA0MDE3ODNmZDkyYzMwYzkyNTU2ODE3NiIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%204):2008,concrete,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,Concrete masonry units - : Part 4 Preformed foam cellular concrete blocks,Unknown,concrete masonry units - specification: part 4 preformed foam cellular concrete blocks. civil engineering design and construction. concrete structures. prefabricated construction. concrete masonry units - : part 4 preformed foam cellular concrete blocks. civil engineering department(ced). ced 53 - cement matrix products. product specification,0.4781126,33
SP 23:1982,Handbook on Concrete Mixes,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Others,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkJ2ZG5lNDQwOW9pN2tLTGZGVUYvZGc9PSIsInZhbHVlIjoiTkM2d2lWOURDdHJLcUFEZm8rdzBXQT09IiwibWFjIjoiZjI3MzE2OTE2ODk5ZTJhYzQ0M2U3ZGY2ZTRiMzJmY2IxMmI2Y2IyY2ZjZWI5YmQ2NjNhZjk1M2Q2ODIyNjA4YSIsInRhZyI6IiJ9&standardNumber=SP%2023:1982,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing",Unknown,Handbook on Concrete Mixes,Unknown,"handbook on concrete mixes. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. handbook on concrete mixes. civil engineering department(ced). ced 02 - cement and concrete. others",0.47779873,34
IS 18837:2024,SOLVENT CEMENTS FOR CHLORINATED POLY (VINYL CHLORIDE) (CPVC) PLASTIC PIPE AND FITTINGS,Unknown,Unknown,"Petroleum, Coal And Related Products Department(PCD)",PCD 12 - Plastics,New Standard,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlB1a0gzVmo2UjBJTzZLZVMxODkzNXc9PSIsInZhbHVlIjoieE1zSmtCZHBjSW81VVpMNjhqY0tPZz09IiwibWFjIjoiZWM5MGMyY2Q4NWVmYzFiYjAwNzQzZTY3M2ViYmNkYjFkMjYyNDU2ODU3ZDIxMWZmMjE4ZjJmZDdjZjRjMzNiNSIsInRhZyI6IiJ9&standardNumber=IS%2018837:2024,cement,Not Available,"Chemicals, Plastics and their Products including packaging and Environment","Plastic Films, Bottles, Jars, Pipes, Sockets and Other Products",Laying and Installation of Plastic Pipes,Ministry of Chemicals and Fertilizers - Department of Chemicals and Petrochemicals (DCPC),Unknown,Voluntary Certification,"solvent cements for chlorinated poly (vinyl chloride) (cpvc) plastic pipe and fittings. chemicals, plastics and their products including packaging and environment. plastic films, bottles, jars, pipes, sockets and other products. laying and installation of plastic pipes. petroleum, coal and related products department(pcd). pcd 12 - plastics. product specification. ministry of chemicals and fertilizers - department of chemicals and petrochemicals (dcpc)",0.4753396,35
IS 1592:2003,Asbestos cement pressure pipes and joints - Specification (Fourth Revision),2023.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,04,03,Product Specification,"Nov, 2023",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlVrcEh3d3NIVnhURWd6cVViRE1hc3c9PSIsInZhbHVlIjoiYVdnTTRieDVtVXJ1ZGlZODNrL3NOUT09IiwibWFjIjoiZTg5ZGY3NTAwYjk3ZDU2NGQzNTAzNDA2MGYyNDNhNDNkNGE0ZWI2ODJkMzU0MWI2YWMxZDhkYzEyOTJiZmFkMCIsInRhZyI6IiJ9&standardNumber=IS%201592:2003,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,Asbestos Cement Pressure Pipes and Joints -,Mandatory Certification,asbestos cement pressure pipes and joints - specification (fourth revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement pressure pipes and joints -. civil engineering department(ced). ced 53 - cement matrix products. product specification,0.47468564,36
IS 6908:1991,Asbestos - Cement pipes and fitkIngs for sewerage and drainage - Specification (First Revision),2022.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,01,01,Product Specification,"Jan, 2022",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImxiWUZtRGZOYjc5RGx3MTg5MkRVTVE9PSIsInZhbHVlIjoiaiszUHkzVi9KVER2dEJ3aTdYZ1Fmdz09IiwibWFjIjoiMDBkMmRlYTkzNWMwMzQ0NmQxZjY4YzNiNzFjNGQ1MTA2YmFkMThhNzU0YzQyOGRmNWI3NzY5NmE2NDE1YWE0NSIsInRhZyI6IiJ9&standardNumber=IS%206908:1991,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,asbestos cement pipes and fittings for sewerage and drainage,Mandatory Certification,asbestos - cement pipes and fitkings for sewerage and drainage - specification (first revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement pipes and fittings for sewerage and drainage. civil engineering department(ced). ced 53 - cement matrix products. product specification,0.47054866,37
IS 1626 (Part 2):1994,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings: Part 2 gutter and gutter fittings) (Second Revision)",2025.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,02,01,Product Specification,"Aug, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjFPTE1VZkF0Qi9GMHpXTHRtOFJnMFE9PSIsInZhbHVlIjoiZUhNL1l5aU5BT2I0UHpubVp3ckwvUT09IiwibWFjIjoiMmQxYjM1OWQ4ZDU3MGNmYzQ0YWQxZjM4ZmNmMjY0ZDg3MzM0YTUwNmU4N2JmOGIyNTZjMWRjZmM2Yjg4ZDIyMyIsInRhZyI6IiJ9&standardNumber=IS%201626%20(Part%202):1994,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings -",Voluntary Certification,"asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings: part 2 gutter and gutter fittings) (second revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings -. civil engineering department(ced). ced 53 - cement matrix products. product specification",0.4697218,38
IS 9350:1980,Thermal Insulating Cement (type 950),Unknown,Withdrawn,Chemical Department(CHD),CHD 27 - Thermal Insulation,New Standard,No amendment issued,Unknown,"Jan, 1990",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InNvNlc5MVhWL29LTU1HaTRISXV5c2c9PSIsInZhbHVlIjoielpKckxrNnRsRHM3WldRaW5YcUcydz09IiwibWFjIjoiYWJmNWE2ZTg2NTU5ZmFjYTZmM2NlYWQ3NGQ0NjIyYmM3NGY0MzMxYjlkYWE1ZjE3ZjUyODRhZDQ4NWQzMmExZSIsInRhZyI6IiJ9&standardNumber=IS%209350:1980,cement,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,thermal insulating cement (type 950). chemical department(chd). chd 27 - thermal insulation,0.46921095,39
IS 9142:1979,Specification for Artificial Lightweight Aggregates for Concrete Masonry Units,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,"Jan, 2016",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkJkczNpQVFqaGdQR2VvUXZHbGppdkE9PSIsInZhbHVlIjoiUmxSQVIrckxHMDllVG1YVml5TTlPdz09IiwibWFjIjoiNmNlN2YwNDI3ZDAzZDJiMTM0MGU1NzQyOWQ1NjZmM2NkY2JlMmEwYjY1M2E4ZTU2OWViMDk4NzY2ZWU4MDk4ZCIsInRhZyI6IiJ9&standardNumber=IS%209142:1979,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing",Unknown,Artificial Lightweight Aggregates for Concrete Masonry Units,Unknown,"specification for artificial lightweight aggregates for concrete masonry units. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. artificial lightweight aggregates for concrete masonry units. civil engineering department(ced). ced 02 - cement and concrete. product specification",0.46739885,40
SP 34:1987,Handbook on Concrete Reinforcement and Detailing,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,01,Others,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Im42UGk3dW5SMmg0dENKejRDUTVuZ0E9PSIsInZhbHVlIjoiRTBMTXhvNlBXR1EwdjV2bnZkS0N5Zz09IiwibWFjIjoiNjFhZjVhNTQ0ZWEyM2U1NzQwYmQ1YTM4N2Q5NWFjNzNlNDcwNjAyN2Y1NjhiYWVlNDEzMDg3MmUyNTJhZjMwMyIsInRhZyI6IiJ9&standardNumber=SP%2034:1987,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing",Unknown,Handbook on Concrete Reinforcement and Detailing,Unknown,"handbook on concrete reinforcement and detailing. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. handbook on concrete reinforcement and detailing. civil engineering department(ced). ced 02 - cement and concrete. others",0.46498704,41
SP 34:1987,Handbook on Concrete Reinforcement and Detailing,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,01,Others,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkRId1BlSnlEVVlKS2xsMmpFc2tQb2c9PSIsInZhbHVlIjoicnJHZ1k3RzRJeEphL2dOMUpwSXlTQT09IiwibWFjIjoiYzY0ZmI0NzAwNzY2ODlkY2FkN2VjOWY2MTM5MWMxYzUyNTA2ZjJjMmYxNDZjYmMzN2UzZDlmM2Y4ODdmZTJlMSIsInRhZyI6IiJ9&standardNumber=SP%2034:1987,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing",Unknown,Handbook on Concrete Reinforcement and Detailing,Unknown,"handbook on concrete reinforcement and detailing. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. handbook on concrete reinforcement and detailing. civil engineering department(ced). ced 02 - cement and concrete. others",0.46498704,42
IS 17908:2023,FIBRE CEMENT SHEET -LIGHTWEIGHT CONCRETE SANDWICH PANELS - SPECIFICATION,Unknown,Unknown,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,New Standard,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImkxOWo5bVRaY0swZ2h5aHVmbzQyYUE9PSIsInZhbHVlIjoiTFhaNFVzZzllck1WTk9iYmlzbkxVUT09IiwibWFjIjoiNWI1MmU0NGRiODg4Mzc0MGZkOGM2YTJkMzUyMmQ5ZWY4YWEyMmNiYjg1NjI3Y2UyYzEzYjA2NjQzMmRlNGY1OSIsInRhZyI6IiJ9&standardNumber=IS%2017908:2023,concrete,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Fibre Cement Sheets, Boards, Pipes and Fittings, Conduits and Troughs",Ministry of Housing and Urban Poverty Alleviation,SANDWICH PANELS,Unknown,"fibre cement sheet -lightweight concrete sandwich panels - specification. building materials including paints. cement, concrete and allied products. fibre cement sheets, boards, pipes and fittings, conduits and troughs. sandwich panels. civil engineering department(ced). ced 53 - cement matrix products. product specification. ministry of housing and urban poverty alleviation",0.46385765,43
IS 17908:2023,FIBRE CEMENT SHEET -LIGHTWEIGHT CONCRETE SANDWICH PANELS - SPECIFICATION,Unknown,Unknown,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,New Standard,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Inh5L0JqckJFWDJrZGU1WVU2d0dlUnc9PSIsInZhbHVlIjoiNkRUclpKWEp6S01FbmloRGtkVlpTdz09IiwibWFjIjoiOTZlY2RlZmQwOTg2NjQ3MTE0ZmE3MzQyMjUwOTQ1M2ZjZDA4OWUzMjAxMzE4ZWRhNjFhZmRlYjM2MjNhODA4MSIsInRhZyI6IiJ9&standardNumber=IS%2017908:2023,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Fibre Cement Sheets, Boards, Pipes and Fittings, Conduits and Troughs",Ministry of Housing and Urban Poverty Alleviation,SANDWICH PANELS,Unknown,"fibre cement sheet -lightweight concrete sandwich panels - specification. building materials including paints. cement, concrete and allied products. fibre cement sheets, boards, pipes and fittings, conduits and troughs. sandwich panels. civil engineering department(ced). ced 53 - cement matrix products. product specification. ministry of housing and urban poverty alleviation",0.46385765,44
IS/ISO 9917 (Part 2):2017,Dentistry - Water - Based cement: Part 2 resin - Modified cements (First Revision),2022.0,Current,Medical Equipment And Hospital Planning Department(MHD),MHD 08 - Dentistry,01,No amendment issued,Product Specification,"Jan, 2022",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImU1YmRrRFdoS1JmZU9VcVg0MzJVVHc9PSIsInZhbHVlIjoiRzYyV1kzQzRQbkNQM2RhQ2J5UTF4Zz09IiwibWFjIjoiODYwNzFjYzczZTA5NzZiODU2YjRkYzFlNDliNTg1ZDg4MzNhYzM0ZTVlNTk0Mzg1OTIwOTNiNTViYjYwNThjOSIsInRhZyI6IiJ9&standardNumber=IS%2FISO%209917%20(Part%202):2017,cement,Not Available,Medical and Hospital Equipments,Dentistry instruments/equipment and accessories,Filling and restorative materials,Ministry of Health and Family Welfare,Unknown,Unknown,dentistry - water - based cement: part 2 resin - modified cements (first revision). medical and hospital equipments. dentistry instruments/equipment and accessories. filling and restorative materials. medical equipment and hospital planning department(mhd). mhd 08 - dentistry. product specification. ministry of health and family welfare,0.46358112,45
IS 13710:1993,Dental materials - Dental zinc polycarboxylate cements - Specification,Unknown,Withdrawn,Medical Equipment And Hospital Planning Department(MHD),MHD 08 - Dentistry,New Standard,No amendment issued,Product Specification,"Jan, 2016",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IndBdk9EQkdWOXU2Q2dXbVMrbk1KUHc9PSIsInZhbHVlIjoiLzR4SHViRnoyYVordkgzOXlIRFVFQT09IiwibWFjIjoiYmJmOGY2NGM2MDk1ZjhjZDYzOTQyZTA3YTczNTNmODliNDFmM2IxYmIwZGRmYTFlMmQ4ODdkMWUwOGVjZTQ0NSIsInRhZyI6IiJ9&standardNumber=IS%2013710:1993,cement,Not Available,Medical and Hospital Equipments,Dentistry instruments/equipment and accessories,Filling and restorative materials,Ministry of Health and Family Welfare,Dental materials - Dental zinc polycarboxylate cements,Unknown,dental materials - dental zinc polycarboxylate cements - specification. medical and hospital equipments. dentistry instruments/equipment and accessories. filling and restorative materials. dental materials - dental zinc polycarboxylate cements. medical equipment and hospital planning department(mhd). mhd 08 - dentistry. product specification. ministry of health and family welfare,0.46244454,46
IS 1626 (Part 3):1994,"Asbestos Cement Building types and Pipe Fittings, Gutters and Gutter Fittings and Roofing Fittings - Part 3 : Roofing Fittings",2025.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,02,No amendment issued,Product Specification,"Aug, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik4rejFub2sxZWNmc2hRMkNrNysxaGc9PSIsInZhbHVlIjoiSUhtcm9UTGJYSnBQNE1SUnRjcm5PUT09IiwibWFjIjoiMTdjMGQyNzUwZWJlMjBkNzU1YzM2YjFhMmU5Njc2Y2YzZmQ0MjRiMmI2NGYwOTM5OGU4NTYyNjJmMTE4MjlmOSIsInRhZyI6IiJ9&standardNumber=IS%201626%20(Part%203):1994,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Ministry of Housing and Urban Affairs,"Asbestos Cement Building types and Pipe Fittings, Gutters and Gutter Fittings and Roofing Fittings -",Voluntary Certification,"asbestos cement building types and pipe fittings, gutters and gutter fittings and roofing fittings - part 3 : roofing fittings. civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement building types and pipe fittings, gutters and gutter fittings and roofing fittings -. civil engineering department(ced). ced 53 - cement matrix products. product specification. ministry of housing and urban affairs",0.46030724,47
IS 14182:1994,Solvent cement for use with unplasticized polyvinyl chloride plastic pipe and fittings - Specifications,2025.0,Current,"Petroleum, Coal And Related Products Department(PCD)",PCD 12 - Plastics,New Standard,02,Product Specification,"Jul, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlBKOVl6UWl6bEdrZnp6VFlGZ3RKVFE9PSIsInZhbHVlIjoiNUN1eExBRGRUdnR0dk5hazViUzNEdz09IiwibWFjIjoiZGY2OGExZDRhYTZlZGU5ZTE5NmFhZjkxNTgxODJmMDk2MzY4MDY2NDdiZWNkNWJkOWVlOTE3NWMyN2VlYTBkZCIsInRhZyI6IiJ9&standardNumber=IS%2014182:1994,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing",Ministry of Chemicals and Fertilizers - Department of Chemicals and Petrochemicals (DCPC),Solvent Cement For Use With Unplasticized Polyvinylchloride Plastic Pipe And Fittings,Voluntary Certification,"solvent cement for use with unplasticized polyvinyl chloride plastic pipe and fittings - specifications. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. solvent cement for use with unplasticized polyvinylchloride plastic pipe and fittings. petroleum, coal and related products department(pcd). pcd 12 - plastics. product specification. ministry of chemicals and fertilizers - department of chemicals and petrochemicals (dcpc)",0.46020967,48
IS 1626 (Part 1):1994,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fitting: Part 1 pipe and pipe fittings (Second Revision)",2025.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,02,No amendment issued,Product Specification,"Aug, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkpCeWo0MHh1Z1kyTE14OFVNWThVRUE9PSIsInZhbHVlIjoiVTk1NFZiQTlCSldkbGNsWExiclJkZz09IiwibWFjIjoiMzM5MDhiMGI0ZDczNzc2MGExYzNkMzcyNmU3N2I3OGFlMDJmZjE5Nzc3NmY4MGJkMmRkYjBlYzY1ZjZkYzcyOSIsInRhZyI6IiJ9&standardNumber=IS%201626%20(Part%201):1994,cement,Not Available,Civil Engineering Design and Construction,Concrete structures,Prefabricated Construction,Unknown,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings -",Unknown,"asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fitting: part 1 pipe and pipe fittings (second revision). civil engineering design and construction. concrete structures. prefabricated construction. asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings -. civil engineering department(ced). ced 53 - cement matrix products. product specification",0.45952672,49
IS 515:1959,Natural and manufactured aggregates for use in mass concrete,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Unknown,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlFPNDN1bWVXbGhGRkswMUtYQ3JUK3c9PSIsInZhbHVlIjoiNXNIdVhicHQxTFFkdGpMRW5ISGhTQT09IiwibWFjIjoiOTdhYTA2MGU0ZTQxZWVlZTI1MjUyNjIzOWJmMzE3ZWVhNmQyOTE4MTFlYmQyNTI4NzM4YTk5YmM3ZDg3OTQ2MiIsInRhZyI6IiJ9&standardNumber=IS%20515:1959,concrete,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,natural and manufactured aggregates for use in mass concrete. civil engineering department(ced). ced 02 - cement and concrete,0.45947957,50
